CFG,ITM_DESC,CHANNEL_ID,PRODUCT_ID,PRODUCT_NAME,SCHEDULER_NAME,DMND_WEEK_STRT_DATE,VRSN_WEEK_STRT_DATE,MRP_FCST_QTY,SUPPLY_CHAIN_TYPE,,LEAD_TIME
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5000948,55725,55725,BTX_PERSONAL_NOTEBOOKS,17-09-2016,07-11-2015,0,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,60147,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8,,20:00
"BTRY,PRI,43WHR,3C,LITH,LGC",5000004,59515,59515,BTX_CHROME,07-01-2017,20-02-2016,1,BTO,57:56.9,,20:00
"BTRY,PRI,51.2WHR,3C,LITH,SDI",5000960,57455,57455,BTX_VOSTRO_NOTEBOOKS,02-04-2016,26-12-2015,1161,BTO,21:42.6,,20:00
"BTRY,PRI,43WHR,3C,LITH,LGC",5000004,59515,59515,BTX_CHROME,07-01-2017,20-02-2016,1,BTO,57:56.9,,20:00
"BTRY,PRI,65WHR,6C,LITH,SIMP",5000236,53291,53291,NORMAWARZURA_MAT (BATTERY_APJ),17-09-2016,10-10-2015,0,CTO,51:30.0,,20:00
"BTRY,PRI,62WHR,4C,LITH,LGC",5000945,63395,63395,NORMAWARZURA_MAT (BATTERY_APJ),16-04-2016,10-10-2015,35,CTO,51:30.0,,20:00
"BTRY,PRI,43WHR,3C,LITH,LGC",1865,199,199,KERRY_NG,14-01-2017,27-02-2016,7,CTO,52:53.0,,20:00
"BTRY,PRI,91WHR,6C,LITH,SDI",1865,81734,81734,DEBRALEA_ROGERS(LARGE ORDERS),09-04-2016,12-03-2016,0,CTO,21:27.0,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",5000948,62907,62907,BTX_LATITUDE,17-09-2016,24-10-2015,2,BTO,02:40.4,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",5000948,62907,62907,BTX_LATITUDE,17-09-2016,24-10-2015,2,BTO,02:40.4,,20:00
"BTRY,PRI,56WHR,3C,LITH,LGC",5000004,60813,60813,BTX_XPS_NOTEBOOKS,16-01-2016,26-09-2015,25,BTO,51:30.0,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",5000948,62904,62904,BTX_LATITUDE,17-09-2016,24-10-2015,3,BTO,02:40.4,,20:00
"BTRY,PRI,32WHR,2C,LITH,SIMPLO",1865,66803,66803,BTX_TABLETS,02-04-2016,23-01-2016,48,BTO,11:48.7,,20:00
"BTRY,PRI,47WHR,4C,LITH,SIMP",5001416,199,199,NORMAWARZURA_MAT (BATTERY_APJ),13-08-2016,17-10-2015,6,CTO,02:40.4,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",5000948,62904,62904,BTX_LATITUDE,17-09-2016,24-10-2015,3,BTO,02:40.4,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",5000948,62907,62907,BTX_LATITUDE,17-09-2016,24-10-2015,2,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60151,60151,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,49,BTO,14:57.8,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",2190,60146,60146,BTX_PERSONAL_NOTEBOOKS,14-05-2016,19-12-2015,7,BTO,02:40.4,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,19-03-2016,12-12-2015,0,BTS,02:40.4,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,19-03-2016,12-12-2015,0,BTS,02:40.4,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,19-03-2016,12-12-2015,0,BTS,02:40.4,,20:00
"BTRY,PRI,65WHR,6C,LITH,SIMP",1865,75357,75357,JACQUEL_HIGHTOWER(LARGE ORDERS),11-06-2016,16-01-2016,0,CTO,14:57.8,,20:00
"BTRY,PRI,58WHR,6C,3YRW,SIMP",1865,199,199,KERRY_NG,12-03-2016,23-01-2016,200,CTO,11:48.7,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,60147,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",5000948,62907,62907,BTX_LATITUDE,17-09-2016,24-10-2015,2,BTO,02:40.4,,20:00
"BTRY,PRI,32WHR,2C,LITH,SIMPLO",2190,59860,59860,BTX_TABLETS,01-10-2016,12-12-2015,4,BTO,02:40.4,,20:00
"BTRY,PRI,65WHR,6C,LITH,SIMP",5001417,52370,52370,NORMAWARZURA_MAT (BATTERY_APJ),01-10-2016,28-11-2015,0,CTO,02:40.4,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,19-03-2016,12-12-2015,0,BTS,02:40.4,,20:00
"CUS,BTRY,PRI,48WHR,6C,SNYO",5000947,199,199,HANNAH_H,05-11-2016,09-04-2016,8,CTO,00:02.3,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,22-10-2016,14-05-2016,253,BTO,32:44.2,,20:00
"BTRY,PRI,37WHR,3C,LITH,SANYO",5000005,62908,62908,NORMAWARZURA_MAT (BATTERY_APJ),27-02-2016,03-10-2015,7,CTO,51:30.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,60147,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,19-03-2016,12-12-2015,0,BTS,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,60147,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8,,20:00
"BTRY,PRI,62WHR,4C,LITH,SIMPLO",2190,62853,62853,BTX_LATITUDE,19-03-2016,12-12-2015,0,BTS,02:40.4,,20:00
"BTRY,PRI,38WHR,3C,LITH,SIMPLO",2190,57513,57513,BTX_LATITUDE,07-11-2015,10-10-2015,83,BTO,51:30.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",30000,57453,57453,BTX_VOSTRO_NOTEBOOKS,20-08-2016,26-12-2015,0,BTS,21:42.6,,20:00
"BTRY,PRI,92WHR,8C,LITH,SIMPLO",2190,63397,63397,NATALIE_MCNAMARA_CONSUMER,09-04-2016,26-03-2016,238,CTO,21:48.5,,20:00
"BTRY,PRI,32WHR,2C,LITH,SDI",1865,70901,70901,BTX_PERSONAL_NOTEBOOKS,06-08-2016,23-04-2016,0,BTS,59:38.0,,20:00
"BTRY,PRI,74WHR,6C,LITH,SIMPLO",5364,63886,63886,BTX_PERSONAL_NOTEBOOKS_BRZ,27-02-2016,30-01-2016,86,BTO,17:43.1,,20:00
"BTRY,PRI,32WHR,2C,LITH,SDI",1865,70901,70901,BTX_PERSONAL_NOTEBOOKS,06-08-2016,23-04-2016,0,BTS,59:38.0,,20:00
"BTRY,PRI,32WHR,2C,LITH,SDI",1865,70901,70901,BTX_PERSONAL_NOTEBOOKS,06-08-2016,23-04-2016,2495,BTO,59:38.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",5000236,62880,62880,MAGGIE_ZHONG,01-10-2016,30-04-2016,33,CTO,32:44.2,,20:00
"BTRY,PRI,97WHR,9C,LITH,SIMP",5000960,57368,57368,NORMAWARZURA_MAT (BATTERY_APJ),13-08-2016,24-10-2015,0,CTO,02:40.4,,20:00
"BTRY,PRI,91WHR,6C,LITH,SIMPLO",5000948,54142,54142,NORMAWARZURA_MAT (BATTERY_APJ),26-12-2015,14-11-2015,1,CTO,02:40.4,,20:00
"BTRY,PRI,92WHR,8C,LITH,SIMPLO",1865,58169,58169,SHARON_BARTH,26-09-2015,03-10-2015,46,CTO,51:30.0,,20:00
"BTRY,PRI,30WHR,3C,LITH,LGC",5000960,57616,57616,BTX_LATITUDE,23-04-2016,28-11-2015,0,BTO,02:40.4,,20:00
"BTRY,PRI,32WHR,2C,LITH,SIMPLO",5000236,66803,66803,BTX_TABLETS,03-09-2016,05-12-2015,3,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",1865,60147,60147,BTX_PERSONAL_NOTEBOOKS,09-04-2016,16-01-2016,0,BTO,14:57.8,,20:00
"BTRY,PRI,66WHR,6C,SDI,LL14",5001417,62882,62882,MAGGIE_ZHONG,03-09-2016,09-04-2016,18,CTO,00:02.3,,20:00
"BTRY,PRI,35WHR,2C,LITH,SIMPLO",2190,64248,64248,BTX_LATITUDE,23-07-2016,21-11-2015,48,BTO,02:40.4,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",30000,57453,57453,BTX_VOSTRO_NOTEBOOKS,20-08-2016,26-12-2015,0,BTS,21:42.6,,20:00
"BTRY,PRI,47WHR,3C,LITH,SIMPLO",2190,62854,62854,ADRIENNE_CARTY_TIED_BATTERIES,18-06-2016,02-04-2016,580,CTO,56:43.7,,20:00
"BTRY,PRI,40WHR,4C,LITH,SIMPLO",30000,57453,57453,BTX_VOSTRO_NOTEBOOKS,20-08-2016,26-12-2015,0,BTS,21:42.6,,20:00
"BTRY,PRI,58WHR,4C,LITH,SIMPLO",5000236,56744,56744,BTX_LATITUDE,13-08-2016,09-01-2016,0,BTO,13:36.0,,20:00
"BTRY,PRI,55WHR,4C,LITH,SIMPLO",2190,62905,62905,ADRIENNE_CARTY_TIED_BATTERIES,20-08-2016,10-10-2015,1486,CTO,51:30.0,,20:00
"BTRY,PRI,97WHR,9C,LITH,SIMP",2190,57366,57366,BTX_MOBILE_WORKSTATIONS,10-10-2015,03-10-2015,17,BTO,51:30.0,,20:00
"BTRY,PRI,40WHR,4C,LITH,SANYO",5000960,62877,62877,BTX_LATITUDE,02-07-2016,14-11-2015,21,BTO,02:40.4,,20:00
"BTRY,PRI,54WHR,4C,LITH,SANYO",1865,74129,74129,JACQUEL_HIGHTOWER(LARGE ORDERS),23-01-2016,03-10-2015,0,CTO,51:30.0,,20:00
"BTRY,PRI,97WHR,9C,LITH,SIMP",1865,199,199,KERRY_NG,10-12-2016,26-03-2016,320,CTO,21:48.5,,20:00
"BTRY,PRI,30WHR,2C,LITH,SIMPLO",2190,60812,60812,BTX_XPS_NOTEBOOKS,29-10-2016,02-01-2016,70,BTO,21:42.6,,20:00
"BTRY,PRI,65WHR,6C,LITH,SIMP",1865,199,199,KERRY_NG,20-08-2016,24-10-2015,6,CTO,02:40.4,,20:00
